,,Registration Number,Status,File Number,Owner Name,Latitude/Longitude,Structure City/State,Overall Height Above Ground (AGL)
7,117.0,1232948,Constructed,A0827076,"Seacoast, LP",41-38-30.2N 070-35-50.6W,"Falmouth, MA",54.9
8,118.0,1233882,Cancelled,A0490353,"American Towers, Inc.",41-40-29.3N 070-56-23.2W,"New Bedford, MA",40.8
9,119.0,1234471,Constructed,A0834522,"SBA Properties, LLC",41-41-30.5N 070-08-47.8W,"Dennis, MA",76.2
10,120.0,1234487,Constructed,A0386584,"Industrial Communications & Electronics, Inc.",41-39-24.1N 070-29-51.0W,"Mashpee, MA",51.9
1,121.0,1234704,Granted,A0270924,"Seacoast, LP",41-39-21.2N 070-30-01.1W,"MASHPEE, MA",50.9
2,122.0,1234741,Constructed,A0843577,"Industrial Tower and Wireless, LLC",41-59-11.4N 070-48-35.2W,"Plympton, MA",46.6
3,123.0,1234795,Constructed,A0360977,"Industrial Communications & Electronics, Inc.",41-44-00.8N 070-50-02.2W,"Rochester, MA",60.9
4,124.0,1235228,Constructed,A0834535,"SBA Properties, LLC",41-40-13.3N 070-49-46.1W,"Mattapoisett, MA",60.6
5,125.0,1235743,Constructed,A0834543,"SBA Properties, LLC",41-50-41.0N 070-45-38.1W,"Carber, MA",46.6
6,126.0,1236017,Constructed,A0815849,"American Towers, LLC.",41-53-49.1N 070-47-10.0W,"Carver, MA",56.1
7,127.0,1237253,Constructed,A0819717,"SpectraSite Communications, LLC. through American Towers, LLC.",41-42-11.1N 070-46-47.0W,"Marion, MA",59.7
8,128.0,1237632,Constructed,A0364289,"Yarmouth, Town of",41-41-17.4N 070-12-56.1W,"S. Yarmouth, MA",27.0
9,129.0,1238548,Constructed,A0911018,"American Towers, LLC.",41-43-11.5N 070-57-13.8W,"New Bedford, MA",47.5
10,130.0,1238643,Dismantled,A0755871,T-Mobile Northeast LLC,41-23-11.2N 070-36-38.0W,"West Tisbury, MA",10.1
1,131.0,1238987,Constructed,A0383238,"new bedford, city of",41-39-13.8N 070-57-37.4W,"new bedford, MA",42.0
2,132.0,1241892,Constructed,A0362025,Twelve Richards Road LLC,41-57-14.4N 070-42-44.1W,"Plymouth, MA",48.2
3,133.0,1242019,Constructed,A0815871,"American Towers, LLC.",41-46-44.8N 070-44-13.1W,"Wareham, MA",64.0
4,134.0,1247047,Constructed,A0570610,EASTERN PROPERTIES LLC,41-55-15.7N 070-45-42.2W,"CARVER, MA",45.7
5,135.0,1248619,Constructed,A0815886,"American Towers, LLC.",41-59-07.4N 070-50-14.4W,"Halifax, MA",42.9
6,136.0,1249724,Constructed,A0483781,"Industrial Communications & Electronics, Inc.",41-59-13.4N 070-45-03.7W,"Kingston, MA",36.5
7,137.0,1250084,Constructed,A0519018,"The Woods Hole, Marthas Vineyard & Nantucket Steamship Authority",41-39-28.8N 070-16-40.7W,"Hyannis, MA",11.0
8,138.0,1250888,Constructed,A0516495,"Industrial Tower and Wireless, LLC.",42-02-29.3N 070-50-17.8W,"Pembroke, MA",39.6
9,139.0,1252718,Granted,A0496921,BARDWELL ELECTRONICS,41-23-15.7N 070-36-45.0W,"WEST TISBURY, MA",24.3
10,140.0,1254329,Constructed,A0661723,SBA Towers II LLC,41-51-27.9N 070-57-47.3W,"Lakeville, MA",57.9
1,141.0,1255715,Granted,A0812737,DUKES COUNTY SHERIFFS DEPT,41-23-15.8N 070-36-43.6W,"WEST TISBURY, MA",33.2
2,142.0,1255716,Constructed,A0520441,DUKES COUNTY SHERIFFS DEPT,41-23-15.7N 070-36-45.0W,"WEST TISBURY, MA",24.4
3,143.0,1255774,Constructed,A0520990,"Industrial Tower and Wireless, LLC.",41-53-48.8N 070-43-03.9W,"Plymouth, MA",45.7
4,144.0,1256912,Constructed,A0689785,"Industrial Tower and Wireless, LLC.",41-38-17.5N 070-23-26.9W,"Barnstable, MA",45.7
5,145.0,1259638,Constructed,A1092022,US Coast Guard Navigation Center,41-44-33.9N 070-53-11.6W,"New Bedford, MA",90.2
6,146.0,1260507,Constructed,A0761364,"SBA Monarch Towers II, LLC",41-39-30.9N 070-54-44.4W,"Fairhaven, MA",24.4
7,147.0,1260538,Constructed,A0919480,"Global Tower, LLC. through American Towers, LLC",42-00-06.9N 070-44-29.8W,"Kingston, MA",38.7
8,148.0,1261146,Cancelled,A0651605,T-Mobile Northeast LLC,41-42-31.0N 070-25-38.0W,"Sandwich, MA",57.9
9,149.0,1261971,Constructed,A0911166,"Industrial Tower and Wireless, LLC.",41-58-31.1N 070-41-32.0W,"Plymouth, MA",38.4
10,150.0,1261973,Constructed,A0615470,"Industrial Tower and Wireless, LLC.",41-36-55.3N 070-32-19.5W,"Falmouth, MA",45.7
1,151.0,1262160,Cancelled,A0623245,Omnipoint Communications Inc.,41-55-37.2N 070-46-56.3W,"Carver, MA",45.7
2,152.0,1262987,Cancelled,A0640001,Omnipoint Communications Inc.,41-37-02.9N 070-51-36.1W,"Fairhaven, MA",45.7
3,153.0,1264303,Granted,A0599654,Notus Clean Energy LLC,41-36-30.4N 070-36-32.0W,"East Falmouth, MA",118.6
4,154.0,1265762,Constructed,A0985379,Verizon New England Inc,41-38-10.0N 070-55-29.9W,"New Bedford, MA",28.3
5,155.0,1266369,Constructed,A0761605,"SBA Monarch Towers II, LLC",41-55-29.9N 070-43-57.8W,"Plymouth, MA",45.7
6,156.0,1267296,Cancelled,A0737532,T-Mobile Northeast LLC,41-37-10.0N 070-58-27.0W,"Dartmouth, MA",30.8
7,157.0,1268285,Constructed,A0919653,"Global Tower, LLC. through American Towers, LLC",41-40-15.9N 070-30-59.1W,"Forestdale, MA",45.7
8,158.0,1268922,Granted,A0642411,Woods Hole Oceanographic Institution,41-32-07.7N 070-38-51.7W,"Woods Hole, MA",125.0
9,159.0,1268923,Granted,A0642412,Woods Hole Oceanographic Institution,41-32-03.5N 070-39-00.5W,"Woods Hole, MA",125.0
10,160.0,1271117,Constructed,A0996784,"SBA 2012 TC Assets, LLC",41-53-16.0N 070-32-35.5W,"Plymouth, MA",49.7
